Year,Month,Day,SGD_per_100_INR
2006,Jan,03,3.6805
2006,Jan,04,3.6787
2006,Jan,05,3.6867
2006,Jan,06,3.6825
2006,Jan,09,3.6863
2006,Jan,11,3.7069
2006,Jan,12,3.6775
2006,Jan,13,3.6815
2006,Jan,16,3.6826
2006,Jan,17,3.6824
2006,Jan,18,3.6757
2006,Jan,19,3.6745
2006,Jan,20,3.6797
2006,Jan,23,3.6786
2006,Jan,24,3.6670
2006,Jan,25,3.6598
2006,Jan,26,3.6772
2006,Jan,27,3.6726
2006,Feb,01,3.6801
2006,Feb,02,3.6848
2006,Feb,03,3.6927
2006,Feb,06,3.6802
2006,Feb,07,3.6837
2006,Feb,08,3.6890
2006,Feb,09,3.7009
2006,Feb,10,3.6855
2006,Feb,13,3.6814
2006,Feb,14,3.6821
2006,Feb,15,3.6833
2006,Feb,16,3.6825
2006,Feb,17,3.6834
2006,Feb,20,3.6693
2006,Feb,21,3.6728
2006,Feb,22,3.6659
2006,Feb,23,3.6564
2006,Feb,24,3.6581
2006,Feb,27,3.6561
2006,Feb,28,3.6481
2006,Mar,01,3.6550
2006,Mar,02,3.6489
2006,Mar,03,3.6514
2006,Mar,06,3.6594
2006,Mar,07,3.6680
2006,Mar,08,3.6769
2006,Mar,09,3.6626
2006,Mar,10,3.6597
2006,Mar,13,3.6557
2006,Mar,14,3.6538
2006,Mar,15,3.6594
2006,Mar,16,3.6455
2006,Mar,17,3.6478
2006,Mar,20,3.6405
2006,Mar,21,3.6405
2006,Mar,22,3.6413
2006,Mar,23,3.6328
2006,Mar,24,3.6294
2006,Mar,27,3.6218
2006,Mar,28,3.6195
2006,Mar,29,3.6255
2006,Mar,30,3.6377
2006,Mar,31,3.6281
2006,Apr,03,3.6246
2006,Apr,04,3.6251
2006,Apr,05,3.5912
2006,Apr,06,3.6117
2006,Apr,07,3.5872
2006,Apr,10,3.5883
2006,Apr,11,3.6085
2006,Apr,12,3.5918
2006,Apr,13,3.5473
2006,Apr,17,3.5561
2006,Apr,18,3.5530
2006,Apr,19,3.5427
2006,Apr,20,3.5423
2006,Apr,21,3.5412
2006,Apr,24,3.5307
2006,Apr,25,3.5428
2006,Apr,26,3.5270
2006,Apr,27,3.5219
2006,Apr,28,3.5174
2006,May,02,3.5160
2006,May,03,3.5078
2006,May,04,3.5067
2006,May,05,3.5164
2006,May,08,3.4909
2006,May,09,3.4975
2006,May,10,3.4890
2006,May,11,3.4865
2006,May,15,3.4730
2006,May,16,3.4657
2006,May,17,3.4642
2006,May,18,3.4625
2006,May,19,3.4803
2006,May,22,3.4824
2006,May,23,3.4731
2006,May,24,3.4798
2006,May,25,3.4571
2006,May,26,3.4464
2006,May,29,3.4373
2006,May,30,3.4207
2006,May,31,3.3890
2006,Jun,01,3.4089
2006,Jun,02,3.4178
2006,Jun,05,3.4354
2006,Jun,06,3.4355
2006,Jun,07,3.4419
2006,Jun,08,3.4453
2006,Jun,09,3.4641
2006,Jun,12,3.4678
2006,Jun,13,3.4764
2006,Jun,14,3.4717
2006,Jun,15,3.4701
2006,Jun,16,3.4561
2006,Jun,19,3.4809
2006,Jun,20,3.4737
2006,Jun,21,3.4612
2006,Jun,22,3.4559
2006,Jun,23,3.4508
2006,Jun,26,3.4585
2006,Jun,27,3.4452
2006,Jun,28,3.4381
2006,Jun,29,3.4476
2006,Jun,30,3.4470
2006,Jul,03,3.4427
2006,Jul,04,3.4386
2006,Jul,05,3.4332
2006,Jul,06,3.4338
2006,Jul,07,3.4285
2006,Jul,10,3.4226
2006,Jul,11,3.4127
2006,Jul,12,3.4164
2006,Jul,13,3.4183
2006,Jul,14,3.4139
2006,Jul,17,3.4244
2006,Jul,18,3.4039
2006,Jul,19,3.4010
2006,Jul,20,3.3927
2006,Jul,21,3.3865
2006,Jul,24,3.3832
2006,Jul,25,3.3818
2006,Jul,26,3.3803
2006,Jul,27,3.3763
2006,Jul,28,3.3920
2006,Jul,31,3.3944
2006,Aug,01,3.3818
2006,Aug,02,3.3918
2006,Aug,03,3.3785
2006,Aug,04,3.3879
2006,Aug,07,3.3824
2006,Aug,08,3.3749
2006,Aug,10,3.3861
2006,Aug,11,3.3896
2006,Aug,14,3.3907
2006,Aug,15,3.4063
2006,Aug,16,3.3906
2006,Aug,17,3.3863
2006,Aug,18,3.3869
2006,Aug,21,3.3861
2006,Aug,22,3.3828
2006,Aug,23,3.3817
2006,Aug,24,3.3876
2006,Aug,25,3.3871
2006,Aug,28,3.3908
2006,Aug,29,3.3871
2006,Aug,30,3.3823
2006,Aug,31,3.3786
2006,Sep,01,3.3782
2006,Sep,04,3.3792
2006,Sep,05,3.3873
2006,Sep,06,3.3881
2006,Sep,07,3.4031
2006,Sep,08,3.4013
2006,Sep,11,3.3998
2006,Sep,12,3.3994
2006,Sep,13,3.4173
2006,Sep,14,3.4178
2006,Sep,15,3.4275
2006,Sep,18,3.4328
2006,Sep,19,3.4460
2006,Sep,20,3.4448
2006,Sep,21,3.4493
2006,Sep,22,3.4513
2006,Sep,25,3.4522
2006,Sep,26,3.4453
2006,Sep,27,3.4589
2006,Sep,28,3.4561
2006,Sep,29,3.4549
2006,Oct,02,3.4695
2006,Oct,03,3.4512
2006,Oct,04,3.4663
2006,Oct,05,3.4667
2006,Oct,06,3.4723
2006,Oct,09,3.4792
2006,Oct,10,3.4696
2006,Oct,11,3.4662
2006,Oct,12,3.4822
2006,Oct,13,3.4799
2006,Oct,16,3.4894
2006,Oct,17,3.4893
2006,Oct,18,3.4853
2006,Oct,19,3.4761
2006,Oct,20,3.4735
2006,Oct,23,3.4685
2006,Oct,25,3.4785
2006,Oct,26,3.4610
2006,Oct,27,3.4640
2006,Oct,30,3.4555
2006,Oct,31,3.4715
2006,Nov,01,3.4687
2006,Nov,02,3.4761
2006,Nov,03,3.4794
2006,Nov,06,3.4897
2006,Nov,07,3.4849
2006,Nov,08,3.4937
2006,Nov,09,3.4932
2006,Nov,10,3.5123
2006,Nov,13,3.4755
2006,Nov,14,3.4533
2006,Nov,15,3.4334
2006,Nov,16,3.4441
2006,Nov,17,3.4678
2006,Nov,20,3.4745
2006,Nov,21,3.4579
2006,Nov,22,3.4786
2006,Nov,23,3.4735
2006,Nov,24,3.4620
2006,Nov,27,3.4749
2006,Nov,28,3.4642
2006,Nov,29,3.4612
2006,Nov,30,3.4500
2006,Dec,01,3.4541
2006,Dec,04,3.4575
2006,Dec,05,3.4567
2006,Dec,06,3.4534
2006,Dec,07,3.4397
2006,Dec,08,3.4480
2006,Dec,11,3.4490
2006,Dec,12,3.4365
2006,Dec,13,3.4345
2006,Dec,14,3.4401
2006,Dec,15,3.4458
2006,Dec,18,3.4460
2006,Dec,19,3.4499
2006,Dec,20,3.4464
2006,Dec,21,3.4459
2006,Dec,22,3.4501
2006,Dec,26,3.4645
2006,Dec,27,3.4687
2006,Dec,28,3.4700
2006,Dec,29,3.4713
2007,Jan,03,3.4599
2007,Jan,04,3.4513
2007,Jan,05,3.4678
2007,Jan,08,3.4718
2007,Jan,09,3.4567
2007,Jan,10,3.4513
2007,Jan,11,3.4537
2007,Jan,12,3.4678
2007,Jan,15,3.4769
2007,Jan,16,3.4780
2007,Jan,17,3.4735
2007,Jan,18,3.4778
2007,Jan,19,3.4639
2007,Jan,22,3.4705
2007,Jan,23,3.4821
2007,Jan,24,3.4673
2007,Jan,25,3.4690
2007,Jan,26,3.4907
2007,Jan,29,3.4747
2007,Jan,30,3.4913
2007,Jan,31,3.4819
2007,Feb,01,3.4772
2007,Feb,02,3.4851
2007,Feb,05,3.4800
2007,Feb,06,3.4783
2007,Feb,07,3.4763
2007,Feb,08,3.4723
2007,Feb,09,3.4766
2007,Feb,12,3.4795
2007,Feb,13,3.4900
2007,Feb,14,3.4810
2007,Feb,15,3.4819
2007,Feb,16,3.4949
2007,Feb,21,3.4685
2007,Feb,22,3.4678
2007,Feb,23,3.4641
2007,Feb,26,3.4577
2007,Feb,27,3.4538
2007,Feb,28,3.4508
2007,Mar,01,3.4509
2007,Mar,02,3.4512
2007,Mar,05,3.4380
2007,Mar,06,3.4349
